index,year,month,day,hour,minute,second,recnt_Humid,recnt_Temp,Target_Humid
1,2020,2,4,6,30,0,32.33,80.33,28.6
2,2020,2,4,6,40,0,28.6,82,27.4
3,2020,2,4,6,50,0,27.4,83.6,26.4
4,2020,2,4,7,0,0,26.4,84.6,26
5,2020,2,4,7,10,0,26,85.2,26.4
6,2020,2,4,7,20,0,26.4,86,25
7,2020,2,4,7,30,0,25,86.2,23.6
8,2020,2,4,7,40,0,23.6,86.8,23
9,2020,2,4,7,50,0,23,87,23
10,2020,2,4,8,0,0,23,87.8,22.2
11,2020,2,4,8,10,0,22.2,88,22.2
12,2020,2,4,8,20,0,22.2,88.2,22.6
13,2020,2,4,8,30,0,22.6,89,22.4
14,2020,2,4,8,40,0,22.4,89,21.8
15,2020,2,4,8,50,0,21.8,89,21
16,2020,2,4,9,0,0,21,89,20
17,2020,2,21,10,10,0,20,89,17.5
18,2020,2,21,10,20,0,17.5,96,13.75
19,2020,2,21,10,30,0,13.75,96,14.2
20,2020,2,21,10,40,0,14.2,96.4,11.33
21,2020,2,21,10,50,0,11.33,102.33,12
22,2020,2,21,11,0,0,12,99,12.67
23,2020,2,21,11,10,0,12.67,96.67,13.33
24,2020,2,21,11,20,0,13.33,96,14
25,2020,2,21,11,30,0,14,95,14
26,2020,2,21,11,40,0,14,93.33,14.6
27,2020,2,21,11,50,0,14.6,92.6,15.6
28,2020,2,21,12,0,0,15.6,92,16
29,2020,2,21,12,10,0,16,91.4,16.6
30,2020,2,21,12,20,0,16.6,91,17
31,2020,2,21,12,30,0,17,90,17.4
32,2020,2,21,12,40,0,17.4,89.8,18
33,2020,2,21,12,50,0,18,89.2,19
34,2020,2,21,13,0,0,19,88.6,19.6
35,2020,2,21,13,10,0,19.6,88,20
36,2020,2,21,13,20,0,20,87.2,20.6
37,2020,2,21,13,30,0,20.6,87,21
38,2020,2,21,13,40,0,21,86.2,20.2
39,2020,2,21,13,50,0,20.2,85.8,20
40,2020,2,21,14,0,0,20,85,20
41,2020,2,21,14,10,0,20,85,21.2
42,2020,2,21,14,20,0,21.2,84.8,26.8
43,2020,2,21,14,30,0,26.8,84,30.6
44,2020,2,21,14,40,0,30.6,84,33.4
45,2020,2,21,14,50,0,33.4,83.8,37
46,2020,2,21,15,0,0,37,83,38.6
47,2020,2,21,15,10,0,38.6,83,40
48,2020,2,21,15,20,0,40,82,41
49,2020,2,21,15,30,0,41,82,42.2
50,2020,2,21,15,40,0,42.2,81,43
51,2020,2,21,15,50,0,43,81,43.8
52,2020,2,21,16,0,0,43.8,80.4,44.6
53,2020,2,21,16,10,0,44.6,80,45
54,2020,2,21,16,20,0,45,80,45.8
55,2020,2,21,16,30,0,45.8,79.4,47
56,2020,2,21,16,40,0,47,79,47.6
57,2020,2,21,16,50,0,47.6,78.6,49.2
58,2020,2,21,17,0,0,49.2,78,50
59,2020,2,21,17,10,0,50,78,50
60,2020,2,21,17,20,0,50,78,51.4
61,2020,2,21,17,30,0,51.4,78,53
62,2020,2,21,17,40,0,53,77.2,53.8
63,2020,2,21,17,50,0,53.8,77,55.2
64,2020,2,21,18,0,0,55.2,77,55.2
65,2020,2,21,18,10,0,55.2,77,55.6
66,2020,2,21,18,20,0,55.6,77,56.6
67,2020,2,21,18,30,0,56.6,76.2,56
68,2020,2,21,18,40,0,56,76.8,58.2
69,2020,2,21,18,50,0,58.2,76,59.6
70,2020,2,21,19,0,0,59.6,75.4,60.2
71,2020,2,21,19,10,0,60.2,75,60
72,2020,2,21,19,20,0,60,75,60.6
73,2020,2,21,19,30,0,60.6,75,61.2
74,2020,2,21,19,40,0,61.2,74.6,61.4
75,2020,2,21,19,50,0,61.4,74,61.6
76,2020,2,21,20,0,0,61.6,74,61.8
77,2020,2,21,20,10,0,61.8,74,61
78,2020,2,21,20,20,0,61,74,61
79,2020,2,21,20,30,0,61,74,61
80,2020,2,21,20,40,0,61,74,61.8
81,2020,2,21,20,50,0,61.8,73.8,61.6
82,2020,2,21,21,0,0,61.6,74,62.4
83,2020,2,21,21,10,0,62.4,73,62
84,2020,2,21,21,20,0,62,73.2,62.4
85,2020,2,21,21,30,0,62.4,73,62.2
86,2020,2,21,21,40,0,62.2,73,62
87,2020,2,21,21,50,0,62,73,63
88,2020,2,21,22,0,0,63,72.8,62.8
89,2020,2,21,22,10,0,62.8,73,63.6
90,2020,2,21,22,20,0,63.6,72.2,64.2
91,2020,2,21,22,30,0,64.2,72,65
92,2020,2,21,22,40,0,65,71.6,65.4
93,2020,2,21,22,50,0,65.4,71.2,65.4
94,2020,2,21,23,0,0,65.4,71,65
95,2020,2,21,23,10,0,65,71,65.8
96,2020,2,21,23,20,0,65.8,71,66
97,2020,2,21,23,30,0,66,71,65
98,2020,2,21,23,40,0,65,71,64.8
99,2020,2,21,23,50,0,64.8,71.6,64.8
100,2020,2,22,0,0,0,64.8,71,64
101,2020,2,22,0,10,0,64,71,63.8
102,2020,2,22,0,20,0,63.8,71.2,63.6
103,2020,2,22,0,30,0,63.6,71.2,64
104,2020,2,22,0,40,0,64,71,64
105,2020,2,22,0,50,0,64,71,63.2
106,2020,2,22,1,0,0,63.2,71,63.4
107,2020,2,22,1,10,0,63.4,71,63
108,2020,2,22,1,20,0,63,71,63
109,2020,2,22,1,30,0,63,71,62.8
110,2020,2,22,1,40,0,62.8,70.8,63
111,2020,2,22,1,50,0,63,71,63
112,2020,2,22,2,0,0,63,71,62.2
113,2020,2,22,2,10,0,62.2,71.2,61.6
114,2020,2,22,2,20,0,61.6,72,61.2
115,2020,2,22,2,30,0,61.2,72,61
116,2020,2,22,2,40,0,61,72,60.4
117,2020,2,22,2,50,0,60.4,72.8,59.4
118,2020,2,22,3,0,0,59.4,73,59
119,2020,2,22,3,10,0,59,74,58
120,2020,2,22,3,20,0,58,74.2,56.8
121,2020,2,22,3,30,0,56.8,74.6,55.6
122,2020,2,22,3,40,0,55.6,75.2,54.2
123,2020,2,22,3,50,0,54.2,76,52.8
124,2020,2,22,4,0,0,52.8,76.8,51.4
125,2020,2,22,4,10,0,51.4,77.4,49.8
126,2020,2,22,4,20,0,49.8,78.2,47.8
127,2020,2,22,4,30,0,47.8,79,45.4
128,2020,2,22,4,40,0,45.4,79.8,43.8
129,2020,2,22,4,50,0,43.8,80.4,42.6
130,2020,2,22,5,0,0,42.6,81,42.8
131,2020,2,22,5,10,0,42.8,81.4,41.2
132,2020,2,22,5,20,0,41.2,82.4,40
133,2020,2,22,5,30,0,40,83.2,37.6
134,2020,2,22,5,40,0,37.6,84,35.6
135,2020,2,22,5,50,0,35.6,84,34.8
136,2020,2,22,6,0,0,34.8,84.6,34
137,2020,2,22,6,10,0,34,85.4,32.6
138,2020,2,22,6,20,0,32.6,85.6,31.2
139,2020,2,22,6,30,0,31.2,86.8,29.6
140,2020,2,22,6,40,0,29.6,87.2,29.4
141,2020,2,22,6,50,0,29.4,88.6,27.6
142,2020,2,22,7,0,0,27.6,89.4,25.8
143,2020,2,22,7,10,0,25.8,89,23.6
144,2020,2,22,7,20,0,23.6,89.6,23.2
145,2020,2,22,7,30,0,23.2,90.4,23
146,2020,2,22,7,40,0,23,91,22
147,2020,2,22,7,50,0,22,91.4,21.6
148,2020,2,22,8,0,0,21.6,92.2,21.2
149,2020,2,22,8,10,0,21.2,91.8,20.8
150,2020,2,22,8,20,0,20.8,92,21
151,2020,2,22,8,30,0,21,92.6,21
152,2020,2,22,8,40,0,21,92.6,20.6
153,2020,2,22,8,50,0,20.6,93.2,20
154,2020,2,22,9,0,0,20,93.8,20.4
155,2020,2,22,9,10,0,20.4,94,19.2
156,2020,2,22,9,20,0,19.2,94.2,20.4
157,2020,2,22,9,30,0,20.4,94.4,20.2
158,2020,2,22,9,40,0,20.2,94.8,20
159,2020,2,22,9,50,0,20,94,20
160,2020,2,22,10,0,0,20,94.6,20
161,2020,2,22,10,10,0,20,94.6,19.8
162,2020,2,22,10,20,0,19.8,95,20.6
163,2020,2,22,10,30,0,20.6,94.6,20.8
164,2020,2,22,10,40,0,20.8,94.4,20.6
165,2020,2,22,10,50,0,20.6,93.8,21
166,2020,2,22,11,0,0,21,93.8,21
167,2020,2,22,11,10,0,21,93,21
168,2020,2,22,11,20,0,21,93,22.2
169,2020,2,22,11,30,0,22.2,92.6,23.2
170,2020,2,22,11,40,0,23.2,91.6,24
171,2020,2,22,11,50,0,24,91,24.6
172,2020,2,22,12,0,0,24.6,89.8,25
173,2020,2,22,12,10,0,25,89,25.8
174,2020,2,22,12,20,0,25.8,88.2,26
175,2020,2,22,12,30,0,26,88,27
176,2020,2,22,12,40,0,27,87.4,27.4
177,2020,2,22,12,50,0,27.4,87,28
178,2020,2,22,13,0,0,28,86,28.4
179,2020,2,22,13,10,0,28.4,86,29
180,2020,2,22,13,20,0,29,85.6,29.4
181,2020,2,22,13,30,0,29.4,85,30
182,2020,2,22,13,40,0,30,85,31
183,2020,2,22,13,50,0,31,84.6,31.4
184,2020,2,22,14,0,0,31.4,84.4,32
185,2020,2,22,14,10,0,32,84,33
186,2020,2,22,14,20,0,33,84,33
187,2020,2,22,14,30,0,33,84,33.4
188,2020,2,22,14,40,0,33.4,83.4,34.4
189,2020,2,22,14,50,0,34.4,83,35.2
190,2020,2,22,15,0,0,35.2,82.8,36
191,2020,2,22,15,10,0,36,82.2,37.2
192,2020,2,22,15,20,0,37.2,81.8,38.6
193,2020,2,22,15,30,0,38.6,81,39
194,2020,2,22,15,40,0,39,81,40.8
195,2020,2,22,15,50,0,40.8,81,42.4
196,2020,2,22,16,0,0,42.4,80.4,43.6
197,2020,2,22,16,10,0,43.6,79.8,44.8
198,2020,2,22,16,20,0,44.8,79,45.8
199,2020,2,22,16,30,0,45.8,79,47.2
200,2020,2,22,16,40,0,47.2,78.8,48.8
201,2020,2,22,16,50,0,48.8,78.2,50.6
202,2020,2,22,17,0,0,50.6,77.4,51
203,2020,2,22,17,10,0,51,77.8,51.2
204,2020,2,22,17,20,0,51.2,77,53.6
205,2020,2,22,17,30,0,53.6,76.8,55.4
206,2020,2,22,17,40,0,55.4,76,56.2
207,2020,2,22,17,50,0,56.2,76,57.2
208,2020,2,22,18,0,0,57.2,75.4,58
209,2020,2,22,18,10,0,58,75.2,59
210,2020,2,22,18,20,0,59,75,59.6
211,2020,2,22,18,30,0,59.6,75,60
212,2020,2,22,18,40,0,60,75,60.6
213,2020,2,22,18,50,0,60.6,74.8,61.6
214,2020,2,22,19,0,0,61.6,74.2,62
215,2020,2,22,19,10,0,62,74.2,62.6
216,2020,2,22,19,20,0,62.6,74,63
217,2020,2,22,19,30,0,63,74,63.4
218,2020,2,22,19,40,0,63.4,74,63.8
219,2020,2,22,19,50,0,63.8,74,64.8
220,2020,2,22,20,0,0,64.8,73,65.4
221,2020,2,22,20,10,0,65.4,73,64.6
222,2020,2,22,20,20,0,64.6,73,64.2
223,2020,2,22,20,30,0,64.2,73,64
224,2020,2,22,20,40,0,64,73,63.4
225,2020,2,22,20,50,0,63.4,73.2,63.2
226,2020,2,22,21,0,0,63.2,73,63.2
227,2020,2,22,21,10,0,63.2,73,63
228,2020,2,22,21,20,0,63,73,63
229,2020,2,22,21,30,0,63,73,62.4
230,2020,2,22,21,40,0,62.4,73,62.6
231,2020,2,22,21,50,0,62.6,73,63.2
232,2020,2,22,22,0,0,63.2,72.8,62.6
233,2020,2,22,22,10,0,62.6,73,62.8
234,2020,2,22,22,20,0,62.8,73,63.2
235,2020,2,22,22,30,0,63.2,73,62.4
236,2020,2,22,22,40,0,62.4,73,62.2
237,2020,2,22,22,50,0,62.2,73,62
238,2020,2,22,23,0,0,62,73,62
239,2020,2,22,23,10,0,62,72.8,62.4
240,2020,2,22,23,20,0,62.4,72.6,63.2
241,2020,2,22,23,30,0,63.2,72,63.6
242,2020,2,22,23,40,0,63.6,71.8,64.6
243,2020,2,22,23,50,0,64.6,71.4,65.2
244,2020,2,23,0,0,0,65.2,71.2,65
245,2020,2,23,0,10,0,65,71,65.8
246,2020,2,23,0,20,0,65.8,71,65.8
247,2020,2,23,0,30,0,65.8,71,65.2
248,2020,2,23,0,40,0,65.2,71.2,65.6
249,2020,2,23,0,50,0,65.6,71,65
250,2020,2,23,1,0,0,65,72,65.6
251,2020,2,23,1,10,0,65.6,71,66
252,2020,2,23,1,20,0,66,71,65.6
253,2020,2,23,1,30,0,65.6,71,65.2
254,2020,2,23,1,40,0,65.2,71,65
255,2020,2,23,1,50,0,65,71,64
256,2020,2,23,2,0,0,64,71.6,64
257,2020,2,23,2,10,0,64,72,63.2
258,2020,2,23,2,20,0,63.2,72.2,62.4
259,2020,2,23,2,30,0,62.4,72.8,61
260,2020,2,23,2,40,0,61,73,60.4
261,2020,2,23,2,50,0,60.4,73,58.8
