year,month,day,hour,minute,second,recnt_Temp,recnt_Humid,Target_Temperature
2020,02,04,06,30,00,80.33,32.33,82.0
2020,02,04,06,40,00,82.0,28.6,83.6
2020,02,04,06,50,00,83.6,27.4,84.6
2020,02,04,07,00,00,84.6,26.4,85.2
2020,02,04,07,10,00,85.2,26.0,86.0
2020,02,04,07,20,00,86.0,26.4,86.2
2020,02,04,07,30,00,86.2,25.0,86.8
2020,02,04,07,40,00,86.8,23.6,87.0
2020,02,04,07,50,00,87.0,23.0,87.8
2020,02,04,08,00,00,87.8,23.0,88.0
2020,02,04,08,10,00,88.0,22.2,88.2
2020,02,04,08,20,00,88.2,22.2,89.0
2020,02,04,08,30,00,89.0,22.6,89.0
2020,02,04,08,40,00,89.0,22.4,89.0
2020,02,04,08,50,00,89.0,21.8,89.0
2020,02,04,09,00,00,89.0,21.0,89.0
2020,02,21,10,10,00,89.0,20.0,96.0
2020,02,21,10,20,00,96.0,17.5,96.0
2020,02,21,10,30,00,96.0,13.75,96.4
2020,02,21,10,40,00,96.4,14.2,102.33
2020,02,21,10,50,00,102.33,11.33,99.0
2020,02,21,11,00,00,99.0,12.0,96.67
2020,02,21,11,10,00,96.67,12.67,96.0
2020,02,21,11,20,00,96.0,13.33,95.0
2020,02,21,11,30,00,95.0,14.0,93.33
2020,02,21,11,40,00,93.33,14.0,92.6
2020,02,21,11,50,00,92.6,14.6,92.0
2020,02,21,12,00,00,92.0,15.6,91.4
2020,02,21,12,10,00,91.4,16.0,91.0
2020,02,21,12,20,00,91.0,16.6,90.0
2020,02,21,12,30,00,90.0,17.0,89.8
2020,02,21,12,40,00,89.8,17.4,89.2
2020,02,21,12,50,00,89.2,18.0,88.6
2020,02,21,13,00,00,88.6,19.0,88.0
2020,02,21,13,10,00,88.0,19.6,87.2
2020,02,21,13,20,00,87.2,20.0,87.0
2020,02,21,13,30,00,87.0,20.6,86.2
2020,02,21,13,40,00,86.2,21.0,85.8
2020,02,21,13,50,00,85.8,20.2,85.0
2020,02,21,14,00,00,85.0,20.0,85.0
2020,02,21,14,10,00,85.0,20.0,84.8
2020,02,21,14,20,00,84.8,21.2,84.0
2020,02,21,14,30,00,84.0,26.8,84.0
2020,02,21,14,40,00,84.0,30.6,83.8
2020,02,21,14,50,00,83.8,33.4,83.0
2020,02,21,15,00,00,83.0,37.0,83.0
2020,02,21,15,10,00,83.0,38.6,82.0
2020,02,21,15,20,00,82.0,40.0,82.0
2020,02,21,15,30,00,82.0,41.0,81.0
2020,02,21,15,40,00,81.0,42.2,81.0
2020,02,21,15,50,00,81.0,43.0,80.4
2020,02,21,16,00,00,80.4,43.8,80.0
2020,02,21,16,10,00,80.0,44.6,80.0
2020,02,21,16,20,00,80.0,45.0,79.4
2020,02,21,16,30,00,79.4,45.8,79.0
2020,02,21,16,40,00,79.0,47.0,78.6
2020,02,21,16,50,00,78.6,47.6,78.0
2020,02,21,17,00,00,78.0,49.2,78.0
2020,02,21,17,10,00,78.0,50.0,78.0
2020,02,21,17,20,00,78.0,50.0,78.0
2020,02,21,17,30,00,78.0,51.4,77.2
2020,02,21,17,40,00,77.2,53.0,77.0
2020,02,21,17,50,00,77.0,53.8,77.0
2020,02,21,18,00,00,77.0,55.2,77.0
2020,02,21,18,10,00,77.0,55.2,77.0
2020,02,21,18,20,00,77.0,55.6,76.2
2020,02,21,18,30,00,76.2,56.6,76.8
2020,02,21,18,40,00,76.8,56.0,76.0
2020,02,21,18,50,00,76.0,58.2,75.4
2020,02,21,19,00,00,75.4,59.6,75.0
2020,02,21,19,10,00,75.0,60.2,75.0
2020,02,21,19,20,00,75.0,60.0,75.0
2020,02,21,19,30,00,75.0,60.6,74.6
2020,02,21,19,40,00,74.6,61.2,74.0
2020,02,21,19,50,00,74.0,61.4,74.0
2020,02,21,20,00,00,74.0,61.6,74.0
2020,02,21,20,10,00,74.0,61.8,74.0
2020,02,21,20,20,00,74.0,61.0,74.0
2020,02,21,20,30,00,74.0,61.0,74.0
2020,02,21,20,40,00,74.0,61.0,73.8
2020,02,21,20,50,00,73.8,61.8,74.0
2020,02,21,21,00,00,74.0,61.6,73.0
2020,02,21,21,10,00,73.0,62.4,73.2
2020,02,21,21,20,00,73.2,62.0,73.0
2020,02,21,21,30,00,73.0,62.4,73.0
2020,02,21,21,40,00,73.0,62.2,73.0
