year,month,day,hour,minute,second,recnt_Humidity,recnt_Temperature,Target_Humidity
2020.0,02.0,04.0,06.0,30.0,00.0,32.33,80.33,28.6
2020.0,02.0,04.0,06.0,40.0,00.0,28.6,82.0,27.4
2020.0,02.0,04.0,06.0,50.0,00.0,27.4,83.6,26.4
2020.0,02.0,04.0,07.0,00.0,00.0,26.4,84.6,26.0
2020.0,02.0,04.0,07.0,10.0,00.0,26.0,85.2,26.4
2020.0,02.0,04.0,07.0,20.0,00.0,26.4,86.0,25.0
2020.0,02.0,04.0,07.0,30.0,00.0,25.0,86.2,23.6
2020.0,02.0,04.0,07.0,40.0,00.0,23.6,86.8,23.0
2020.0,02.0,04.0,07.0,50.0,00.0,23.0,87.0,23.0
2020.0,02.0,04.0,08.0,00.0,00.0,23.0,87.8,22.2
2020.0,02.0,04.0,08.0,10.0,00.0,22.2,88.0,22.2
2020.0,02.0,04.0,08.0,20.0,00.0,22.2,88.2,22.6
2020.0,02.0,04.0,08.0,30.0,00.0,22.6,89.0,22.4
2020.0,02.0,04.0,08.0,40.0,00.0,22.4,89.0,21.8
2020.0,02.0,04.0,08.0,50.0,00.0,21.8,89.0,21.0
2020.0,02.0,04.0,09.0,00.0,00.0,21.0,89.0,20.0
2020.0,02.0,21.0,10.0,10.0,00.0,20.0,89.0,17.5
2020.0,02.0,21.0,10.0,20.0,00.0,17.5,96.0,13.75
2020.0,02.0,21.0,10.0,30.0,00.0,13.75,96.0,14.2
2020.0,02.0,21.0,10.0,40.0,00.0,14.2,96.4,11.33
2020.0,02.0,21.0,10.0,50.0,00.0,11.33,102.33,12.0
2020.0,02.0,21.0,11.0,00.0,00.0,12.0,99.0,12.67
2020.0,02.0,21.0,11.0,10.0,00.0,12.67,96.67,13.33
2020.0,02.0,21.0,11.0,20.0,00.0,13.33,96.0,14.0
2020.0,02.0,21.0,11.0,30.0,00.0,14.0,95.0,14.0
2020.0,02.0,21.0,11.0,40.0,00.0,14.0,93.33,14.6
2020.0,02.0,21.0,11.0,50.0,00.0,14.6,92.6,15.6
2020.0,02.0,21.0,12.0,00.0,00.0,15.6,92.0,16.0
