index,year,month,day,hour,minute,second,past_Temp,past_Humid,Target_Temperature
1,2020,01,05,10,13,32,34.7,36.0,34.4
2,2020,01,05,10,13,50,34.4,35.0,34.4
3,2020,01,05,10,14,08,34.4,35.0,34.4
4,2020,01,05,10,14,23,34.4,35.0,34.4
5,2020,01,05,10,14,40,34.4,35.0,34.5
6,2020,01,05,10,14,55,34.5,35.0,34.5
7,2020,01,05,10,15,10,34.5,35.0,34.5
8,2020,01,05,10,15,25,34.5,35.0,34.5
9,2020,01,05,10,15,41,34.5,35.0,34.5
10,2020,01,05,10,15,57,34.5,35.0,34.5
11,2020,01,05,10,16,12,34.5,34.0,34.5
12,2020,01,05,10,16,27,34.5,34.0,34.4
13,2020,01,05,10,16,43,34.4,34.0,34.5
14,2020,01,05,10,16,58,34.5,34.0,34.4
15,2020,01,05,10,17,13,34.4,34.0,34.4
16,2020,01,05,10,17,28,34.4,34.0,34.4
17,2020,01,05,10,17,46,34.4,34.0,34.4
18,2020,01,05,10,18,10,34.4,34.0,34.5
19,2020,01,05,10,18,26,34.5,34.0,34.4
20,2020,01,05,10,18,42,34.4,34.0,34.4
21,2020,01,05,10,18,58,34.4,34.0,34.4
22,2020,01,05,10,19,13,34.4,34.0,34.4
23,2020,01,05,10,19,29,34.4,34.0,34.4
24,2020,01,05,10,19,45,34.4,34.0,34.5
25,2020,01,05,10,20,00,34.5,34.0,34.4
26,2020,01,05,10,20,17,34.4,34.0,34.5
27,2020,01,05,10,20,40,34.5,34.0,34.5
28,2020,01,05,10,20,55,34.5,34.0,34.5
29,2020,01,05,10,21,13,34.5,34.0,34.5
30,2020,01,05,10,21,28,34.5,34.0,34.5
31,2020,01,05,10,21,59,34.5,34.0,34.5
32,2020,01,05,10,22,15,34.5,34.0,34.5
33,2020,01,05,10,22,32,34.5,34.0,34.5
34,2020,01,05,10,22,55,34.5,34.0,34.5
35,2020,01,05,10,23,12,34.5,34.0,34.5
36,2020,01,05,10,23,27,34.5,34.0,34.5
37,2020,01,05,10,23,42,34.5,34.0,34.5
38,2020,01,05,10,24,04,34.5,34.0,34.5
39,2020,01,05,10,24,25,34.5,34.0,34.5
40,2020,01,05,10,24,43,34.5,34.0,34.5
41,2020,01,05,10,25,00,34.5,34.0,34.5
42,2020,01,05,10,25,18,34.5,34.0,34.5
43,2020,01,05,10,25,36,34.5,34.0,34.5
44,2020,01,05,10,25,52,34.5,34.0,34.5
45,2020,01,05,10,26,09,34.5,34.0,34.5
46,2020,01,05,10,26,26,34.5,34.0,34.5
47,2020,01,05,10,26,42,34.5,34.0,34.5
48,2020,01,05,10,26,59,34.5,34.0,34.5
49,2020,01,05,10,27,15,34.5,34.0,34.5
50,2020,01,05,10,27,33,34.5,34.0,34.5
51,2020,01,05,10,27,48,34.5,34.0,34.5
52,2020,01,05,10,28,03,34.5,34.0,34.5
53,2020,01,05,10,28,20,34.5,34.0,34.5
54,2020,01,05,10,28,38,34.5,34.0,34.5
55,2020,01,05,10,28,54,34.5,34.0,34.5
56,2020,01,05,10,29,11,34.5,34.0,34.5
57,2020,01,05,10,29,29,34.5,34.0,34.5
58,2020,01,05,10,29,45,34.5,34.0,34.5
59,2020,01,05,10,30,03,34.5,34.0,34.5
60,2020,01,05,10,30,22,34.5,34.0,34.5
61,2020,01,05,10,30,38,34.5,34.0,34.5
62,2020,01,05,10,30,54,34.5,34.0,34.5
63,2020,01,05,10,31,11,34.5,35.0,34.6
64,2020,01,05,10,31,28,34.6,35.0,34.6
65,2020,01,05,10,31,45,34.6,35.0,34.6
66,2020,01,05,10,32,03,34.6,35.0,34.6
67,2020,01,05,10,32,26,34.6,35.0,34.6
68,2020,01,05,10,32,42,34.6,35.0,34.6
69,2020,01,05,10,32,59,34.6,35.0,34.6
70,2020,01,05,10,33,20,34.6,35.0,34.6
71,2020,01,05,10,33,35,34.6,35.0,34.6
72,2020,01,05,10,33,51,34.6,35.0,34.6
73,2020,01,05,10,34,08,34.6,35.0,34.6
74,2020,01,05,10,34,25,34.6,35.0,34.6
75,2020,01,05,10,34,40,34.6,35.0,34.6
76,2020,01,05,10,34,57,34.6,35.0,34.6
77,2020,01,05,10,35,14,34.6,35.0,34.6
78,2020,01,05,10,35,35,34.6,35.0,34.6
79,2020,01,05,10,35,51,34.6,35.0,34.6
80,2020,01,05,10,36,08,34.6,35.0,34.6
81,2020,01,05,10,36,23,34.6,35.0,34.6
82,2020,01,05,10,36,39,34.6,35.0,34.6
83,2020,01,05,10,36,57,34.6,35.0,34.6
84,2020,01,05,10,37,17,34.6,35.0,34.6
85,2020,01,05,10,37,35,34.6,35.0,34.6
86,2020,01,05,10,37,50,34.6,36.0,34.6
87,2020,01,05,10,38,12,34.6,36.0,34.6
88,2020,01,05,10,38,28,34.6,36.0,34.6
89,2020,01,05,10,38,51,34.6,36.0,34.6
90,2020,01,05,10,39,06,34.6,36.0,34.6
91,2020,01,05,10,39,28,34.6,36.0,34.6
92,2020,01,05,10,39,43,34.6,36.0,34.7
93,2020,01,05,10,40,01,34.7,36.0,34.6
94,2020,01,05,10,40,20,34.6,36.0,34.7
95,2020,01,05,10,40,39,34.7,36.0,34.7
96,2020,01,05,10,41,01,34.7,36.0,34.7
97,2020,01,05,10,41,20,34.7,36.0,34.7
98,2020,01,05,10,41,45,34.7,36.0,34.7
99,2020,01,05,10,42,02,34.7,36.0,34.7
100,2020,01,05,10,42,19,34.7,36.0,34.7
