created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_P,PM2.5_ATM_ug/m3
2020-02-04 06:20:00 UTC,11.9,17.65,22.73,4,-74.33,80.33,32.33,17.65
2020-02-04 06:30:00 UTC,11.27,16.6,21.74,12,-73.4,82,28.6,16.6
2020-02-04 06:40:00 UTC,11.8,17.66,22.71,22,-75.6,83.6,27.4,17.66
2020-02-04 06:50:00 UTC,12.05,17.54,22.75,32,-74.4,84.6,26.4,17.54
2020-02-04 07:00:00 UTC,12.3,18.09,22.72,42,-71.8,85.2,26,18.08
2020-02-04 07:10:00 UTC,13.58,19.51,24.97,52,-73.2,86,26.4,19.51
2020-02-04 07:20:00 UTC,11.97,17.02,22.32,62,-75.8,86.2,25,17.02
2020-02-04 07:30:00 UTC,10.96,16.04,20.63,72,-73.6,86.8,23.6,16.04
2020-02-04 07:40:00 UTC,10.49,15.62,20.27,82,-73.8,87,23,15.62
2020-02-04 07:50:00 UTC,11.01,15.93,20.34,92,-75.6,87.8,23,15.93
2020-02-04 08:00:00 UTC,10.87,15.81,19.91,102,-74.4,88,22.2,15.81
2020-02-04 08:10:00 UTC,11.1,16.43,20.99,112,-75,88.2,22.2,16.43
2020-02-04 08:20:00 UTC,11.93,17.15,21.95,122,-74.2,89,22.6,17.15
2020-02-04 08:30:00 UTC,11.21,16.59,21.47,132,-73.8,89,22.4,16.59
2020-02-04 08:40:00 UTC,11.13,16.17,19.25,142,-73.6,89,21.8,16.17
2020-02-04 08:50:00 UTC,10.98,16,19.89,152,-72.4,89,21,16
2020-02-04 09:00:00 UTC,10.52,15.23,19.46,161,-75.75,89,20,15.23
2020-02-21 10:10:00 UTC,10.72,15.94,20.36,3,-62,96,17.5,15.94
2020-02-21 10:20:00 UTC,10.44,14.82,18.58,5,-67.75,96,13.75,14.82
2020-02-21 10:30:00 UTC,10.13,14.38,18.24,14,-69.2,96.4,14.2,14.38
2020-02-21 10:40:00 UTC,9.79,13.74,17.87,2.67,-71.67,102.33,11.33,13.74
2020-02-21 10:50:00 UTC,8.62,12.3,14.84,3,-72.5,99,12,12.3
2020-02-21 11:00:00 UTC,9.7,13.38,16.43,2.67,-62.33,96.67,12.67,13.38
2020-02-21 11:10:00 UTC,9.77,13.27,16.34,4,-59.67,96,13.33,13.27
2020-02-21 11:20:00 UTC,9.1,12.96,16.39,8,-69.75,95,14,12.96
2020-02-21 11:30:00 UTC,9.27,12.93,15.92,2.67,-64,93.33,14,12.93
2020-02-21 11:40:00 UTC,9.48,13.23,17.23,8,-62.4,92.6,14.6,13.23
2020-02-21 11:50:00 UTC,9.5,13.51,17.39,18,-63.2,92,15.6,13.51
2020-02-21 12:00:00 UTC,9.62,13.59,16.96,28,-64,91.4,16,13.59
2020-02-21 12:10:00 UTC,10.76,15.04,20.21,38,-62.4,91,16.6,15.04
2020-02-21 12:20:00 UTC,11.93,17.18,22.66,48,-63,90,17,17.18
2020-02-21 12:30:00 UTC,13.87,19.7,24.98,58,-63.8,89.8,17.4,19.7
2020-02-21 12:40:00 UTC,15.56,21.79,28.78,68,-61.4,89.2,18,21.79
2020-02-21 12:50:00 UTC,16.32,23.37,31.81,78,-61.6,88.6,19,23.36
2020-02-21 13:00:00 UTC,18.45,26.78,34.56,88,-61.8,88,19.6,26.36
2020-02-21 13:10:00 UTC,17.63,25.15,32.72,98,-63.2,87.2,20,25.11
2020-02-21 13:20:00 UTC,18.39,26.1,35.46,108,-62.6,87,20.6,26.05
2020-02-21 13:30:00 UTC,19.67,27.41,35.4,118,-61.8,86.2,21,27.3
2020-02-21 13:40:00 UTC,21.86,30.46,39.45,128,-61.8,85.8,20.2,29.7
2020-02-21 13:50:00 UTC,22.95,32.43,43.73,138,-62.2,85,20,31.15
2020-02-21 14:00:00 UTC,22.34,31.9,42.95,148,-62.8,85,20,30.81
2020-02-21 14:10:00 UTC,24.51,35.13,46.69,158,-63.6,84.8,21.2,32.7
2020-02-21 14:20:00 UTC,24.71,34.75,45.07,168,-63,84,26.8,32.58
2020-02-21 14:30:00 UTC,25.56,36,45.82,178,-62.8,84,30.6,33.26
2020-02-21 14:40:00 UTC,26.66,37.56,48.62,188,-62.4,83.8,33.4,34.24
2020-02-21 14:50:00 UTC,25.46,35.41,46.05,198,-62.6,83,37,32.96
2020-02-21 15:00:00 UTC,26.19,36.27,46.13,208,-63.2,83,38.6,33.44
2020-02-21 15:10:00 UTC,25.27,35.65,45.91,218,-61.8,82,40,33.06
2020-02-21 15:20:00 UTC,24.3,34.21,42.65,228,-62.4,82,41,32.18
2020-02-21 15:30:00 UTC,24.49,34.34,41.85,238,-63.2,81,42.2,32.27
2020-02-21 15:40:00 UTC,24.7,33.93,41.91,248,-62.6,81,43,32.01
2020-02-21 15:50:00 UTC,26.22,36.1,45.66,258,-63.8,80.4,43.8,33.41
2020-02-21 16:00:00 UTC,30.94,43.01,53.11,268,-62.4,80,44.6,37.47
2020-02-21 16:10:00 UTC,33.98,47.48,57.99,278,-62.2,80,45,39.87
2020-02-21 16:20:00 UTC,38.54,53.21,64.11,288,-63,79.4,45.8,42.65
2020-02-21 16:30:00 UTC,42.38,59.12,70.17,298,-63.6,79,47,45.23
